name,age,sponsor,fights,strikes,strike_accuracy,take_downs,take_down_accuracy,knock_downs,reversals,submissions
"McMann, Sara",Tapout,37,10,398,58.70,17,50.00,1,0,2
"Nunes, Amanda",Xbox,29,10,351,56.50,8,36.40,2,0,2
"Pennington, Raquel",Tapout,29,9,582,59.60,10,43.50,0,0,2
"Correia, Bethe",Xbox,34,8,565,52.40,3,25.00,0,2,0
"de Randamie, Germaine",Bud Light,30,8,281,60.60,0,0.00,1,0,0
"Rousey, Ronda",Tapout,28,8,257,69.10,8,72.70,2,1,3
"Smith, Leslie",Xbox,35,8,526,42.50,0,0.00,2,0,0
"Holm, Holly",Xbox,29,8,492,36.30,2,18.20,2,0,0
"Reneau, Marion",Bud Light,37,8,562,50.20,2,100.00,0,1,2
"Pena, Julianna",Bud Light,28,5,438,70.40,9,52.90,0,1,0
"Zingano, Cat",Reebock,35,5,300,74.60,7,70.00,0,4,0
"Moras, Sarah",Tapout,29,5,231,60.20,3,18.80,0,1,1
"Vieira, Ketlen",Reebock,26,4,287,51.30,8,57.10,0,0,1
"Lansberg, Lina",Reebock,36,4,170,63.00,1,12.50,0,0,0
"Macedo, Veronica",Tapout,37,3,34,63.00,0,0.0,0,0,0
"Aldana, Irene",Xbox,30,3,341,46.20,2,66.70,0,3,0
